mean,median,2.5%,97.5%,state
0.02558305,0.02509651,0.01803602147847414,0.03588055996224282,AK
0.028160283,0.02781873,0.02183763268403709,0.036355105601251124,AL
0.02958854,0.029167302,0.021865677554160357,0.03967481302097439,AR
0.029443407,0.02919782,0.022916468558833003,0.03735984535887837,AZ
0.03419469,0.03395533,0.027319349953904747,0.042356248386204234,CA
0.034828465,0.034641154,0.028844332229346036,0.04186644982546568,CO
0.0,0.0,0.0,0.0,CT
0.085150585,0.08414957,0.061803438980132346,0.11411520522087809,DC
0.06504191,0.064499006,0.050842953659594056,0.08221964742988347,DE
0.039908905,0.039660566,0.032532174792140725,0.04872604487463831,FL
0.035332613,0.035159715,0.029198011523112653,0.04240374434739351,GA
0.038661186,0.037916426,0.026793589489534496,0.05467363763600587,HI
0.02931855,0.028854912,0.0214927707798779,0.039649647660553455,IA
0.025704456,0.025219578,0.01806735647842288,0.036093671526759866,ID
0.032175336,0.03204143,0.026907380623742937,0.03820205992087722,IL
0.03160211,0.031406365,0.026062934705987573,0.03823019871488213,IN
0.027532756,0.027294079,0.02192810825072229,0.03444723170250654,KS
0.03502207,0.03481254,0.028776844264939427,0.042432792112231256,KY
0.02920816,0.02853151,0.019635590771213175,0.04238693444058298,LA
0.040168468,0.03990767,0.03208141103386879,0.049739814922213556,MA
0.034918595,0.03465954,0.027501119254156946,0.04386728499084711,MD
0.04436175,0.043706015,0.032513025868684056,0.05987817449495196,ME
0.030335665,0.030180369,0.02524346662685275,0.036316626146435736,MI
0.032322966,0.0322092,0.027262892574071884,0.038024915009737016,MN
0.033515163,0.033383846,0.02810609512962401,0.039667834620922805,MO
0.027980393,0.027734555,0.021868927963078023,0.035442128125578155,MS
0.027671074,0.027307587,0.02058441019617021,0.03673846963793039,MT
0.031065483,0.030766841,0.024978952901437878,0.03885888410732149,NC
0.03009383,0.029413704,0.020634094066917897,0.043399186339229345,ND
0.028164212,0.027674202,0.020252891071140765,0.03873402643948793,NE
0.03947819,0.0392143,0.03140460615977645,0.04910379033535719,NH
0.03210917,0.031885974,0.025457592122256754,0.040013616438955055,NJ
0.03582577,0.035109714,0.025061165494844318,0.050621022563427674,NM
0.033089533,0.03284458,0.025714907282963394,0.0419030805118382,NV
0.03763594,0.037434757,0.031081473082304002,0.045268281362950795,NY
0.032085866,0.0319096,0.026651450991630556,0.038516918383538726,OH
0.032248355,0.032121062,0.027047567628324033,0.03817543387413025,OK
0.03940091,0.03921788,0.03275692341849208,0.04711597394198179,OR
0.031770166,0.03156917,0.02620050380937755,0.03847333444282412,PA
0.034228873,0.03401015,0.026947424467653035,0.04276130879297853,RI
0.029040428,0.02844942,0.020420171972364187,0.04089006809517741,SC
0.024753282,0.024445739,0.01845665732398629,0.03276103027164936,SD
0.030907186,0.030727284,0.025600143196061253,0.03722270186990499,TN
0.029924378,0.029768877,0.024793022964149713,0.03584564151242375,TX
0.027781172,0.0275255,0.021800360921770335,0.0352166973054409,UT
0.035688695,0.035475403,0.02889429680071771,0.04371124804019927,VA
0.051246446,0.05075945,0.03892898485064507,0.0663340542465448,VT
0.03755939,0.03737615,0.03111191769130528,0.045006567519158124,WA
0.02922799,0.028914958,0.02322619021870196,0.0370088298805058,WI
0.030800791,0.030370908,0.022832622984424233,0.04115523863583802,WV
0.03191677,0.031487625,0.023443672992289066,0.042756575904786584,WY
